PROGRAM_TITLE,Top 5 Most Similar Programs (cosine)
Accounting & Data Analysis Major (B.S.),Accounting Major (A.A.) (0.93); Business Administration & Data Analysis Major (B.S.) (0.79); Accounting Certificate - Online (0.77); Business Major (A.A.) (0.77); Christian Leadership & Management Major (B.S.) (0.76)
Master of Arts in Medical Sciences (M.A.),Master of Science in Biomedical Sciences (M.S.) (0.93); Doctor of Philosophy in Anatomy & Cell Biology (Ph.D.) (0.89); Master of Science in Human Biology (M.S.) (0.82); Interdisciplinary Studies Major (B.A. or B.S.) (0.77); Master of Arts in Interdisciplinary Studies (M.A.) (0.77)
Master of Arts in Military Operations (M.A.),Master of Arts in Interdisciplinary Research (M.A.) (0.76); Master of Arts in Interdisciplinary Studies (M.A.) (0.75); Interdisciplinary Studies Major (B.A. or B.S.) (0.74); Master of Arts in Applied Ministry (M.A.) (0.74); Interdisciplinary Research Major (B.S.) (0.74)
Master of Arts in Music & Worship (M.A.) ,Music & Worship (M.A.) - Worship Music Studies (0.92); Master of Arts in Worship Studies (M.A.) (0.92); Doctor of Worship Studies (D.W.S.) (0.85); Worship Music Studies Major (B.S.) (0.82); Master of Arts in Music Education (M.A.)  (0.77)
Master of Arts in Music Education (M.A.) ,Master of Music in Performance (M.M.) (0.92); Music Education (M.A.) - Music Studies (0.86); Master of Arts in Music & Worship (M.A.)  (0.77); Master of Arts in Ethnomusicology (M.A.) (0.75); Music & Worship (M.A.) - Conducting (0.74)
Master of Arts in Pastoral Counseling (M.A.),Master of Arts in Human Services Counseling (M.A.) (0.95); Master of Arts in Interdisciplinary Studies (M.A.) (0.87); Master of Education in Curriculum & Instruction (M.Ed.) (0.86); Master of Divinity (M.Div.) (0.85); Master of Arts in Applied Ministry (M.A.) (0.85)
Master of Arts in Professional Communication (M.A.),Master of Arts in Strategic Communication (M.A.) (0.85); Master of Arts in Communication (M.A.) (0.84); Master of Arts in Digital Content (M.A.) (0.84); Master of Science in Social Media Management (M.S.) (0.84); Interdisciplinary Research Major (B.S.) (0.80)
Master of Arts in Professional Writing (M.A.),Master of Arts in Composition (M.A.) (0.84); Master of Arts in Interdisciplinary Studies (M.A.) (0.83); Interdisciplinary Research Major (B.S.) (0.82); Interdisciplinary Studies Major (B.A. or B.S.) (0.81); Master of Arts in Applied Ministry (M.A.) (0.81)
Master of Arts in Public History (M.A.),Master of Arts in History (M.A.) (0.98); Master of Arts in Interdisciplinary Studies (M.A.) (0.70); Master of Arts in Interdisciplinary Research (M.A.) (0.68); Master of Arts in Applied Ministry (M.A.) (0.68); Interdisciplinary Research Major (B.S.) (0.68)
Master of Arts in Public Policy (M.A.P.P.),Public Policy - Advanced Graduate Certificate (0.82); Master of Science in Political Science (M.S.) (0.81); Government Major (B.A./B.S.) (0.80); Doctor of Philosophy in Public Policy (Ph.D.) (0.80); International Relations Major (B.A.) (0.78)
Master of Arts in Religion (M.A.R.),Master of Divinity (M.Div.) (0.95); Master of Religious Education (M.R.E.) (0.94); Religion Major (B.S.) (0.91); Doctor of Ministry (D.Min.) (0.89); Master of Arts in Applied Ministry (M.A.) (0.88)
Master of Arts in Sports Chaplaincy (M.A.),Master of Arts in Chaplaincy (M.A.) (0.91); Master of Divinity in Professional Chaplaincy (M.Div.) (0.90); Master of Arts in Religion (M.A.R.) (0.83); Master of Religious Education (M.R.E.) (0.79); Master of Arts in Christian Ministry (M.A.) (0.79)
Master of Arts in Strategic Communication (M.A.),Master of Science in Social Media Management (M.S.) (0.97); Master of Arts in Digital Content (M.A.) (0.94); Master of Arts in Professional Communication (M.A.) (0.85); Master of Arts in Communication (M.A.) (0.78); Strategic Communication Major (B.S.) (0.72)
Master of Arts in Teaching (M.A.T.) - 36 hours,Master of Arts in Teaching (M.A.T.) - 45 hours (0.99); Master of Arts in Teaching in Middle Education Curriculum (M.A.T.) & Education Specialist in School Curriculum and Instructional Planning (Ed.S.) (0.98); Master of Arts in Teaching in Secondary Education Curriculum (M.A.T.) & Education Specialist in School Curriculum and Instructional Planning (Ed.S.)  (0.97); Master of Arts in Teaching in Elementary Education Curriculum (M.A.T.) & Education Specialist in School Curriculum and Instructional Planning (Ed.S.)  (0.96); Master of Arts in Teaching in Special Education (M.A.T.) (0.91)
Master of Arts in Teaching (M.A.T.) - 45 hours,Master of Arts in Teaching (M.A.T.) - 36 hours (0.99); Master of Arts in Teaching in Middle Education Curriculum (M.A.T.) & Education Specialist in School Curriculum and Instructional Planning (Ed.S.) (0.97); Master of Arts in Teaching in Secondary Education Curriculum (M.A.T.) & Education Specialist in School Curriculum and Instructional Planning (Ed.S.)  (0.97); Master of Arts in Teaching in Elementary Education Curriculum (M.A.T.) & Education Specialist in School Curriculum and Instructional Planning (Ed.S.)  (0.96); Master of Arts in Teaching in Special Education (M.A.T.) - 45 hours (0.93)
Master of Arts in Teaching English as a Second Language (M.A.),Master of Arts in Linguistics (M.A.) (0.84); Teaching English as a Second/Foreign Language Major (B.A.) (0.80); Teaching English as a Second Language Certificate - Resident & Online (0.76); Master of Arts in Global and Intercultural Leadership (M.A.) (0.75); English as a Second Language Education P-12 Major (B.Ed.) (0.62)
Master of Arts in Teaching in Elementary Education Curriculum (M.A.T.) & Education Specialist in School Curriculum and Instructional Planning (Ed.S.) ,Master of Arts in Teaching (M.A.T.) - 36 hours (0.96); Master of Arts in Teaching in Secondary Education Curriculum (M.A.T.) & Education Specialist in School Curriculum and Instructional Planning (Ed.S.)  (0.96); Master of Arts in Teaching in Middle Education Curriculum (M.A.T.) & Education Specialist in School Curriculum and Instructional Planning (Ed.S.) (0.96); Master of Arts in Teaching (M.A.T.) - 45 hours (0.96); Master of Arts in Teaching in Special Education (M.A.T.) (0.92)
Master of Arts in Teaching in Middle Education Curriculum (M.A.T.) & Education Specialist in School Curriculum and Instructional Planning (Ed.S.),Master of Arts in Teaching (M.A.T.) - 36 hours (0.98); Master of Arts in Teaching in Secondary Education Curriculum (M.A.T.) & Education Specialist in School Curriculum and Instructional Planning (Ed.S.)  (0.98); Master of Arts in Teaching (M.A.T.) - 45 hours (0.97); Master of Arts in Teaching in Elementary Education Curriculum (M.A.T.) & Education Specialist in School Curriculum and Instructional Planning (Ed.S.)  (0.96); Master of Arts in Teaching in Special Education (M.A.T.) - 45 hours (0.89)
Master of Arts in Teaching in Secondary Education Curriculum (M.A.T.) & Education Specialist in School Curriculum and Instructional Planning (Ed.S.) ,Master of Arts in Teaching in Middle Education Curriculum (M.A.T.) & Education Specialist in School Curriculum and Instructional Planning (Ed.S.) (0.98); Master of Arts in Teaching (M.A.T.) - 36 hours (0.97); Master of Arts in Teaching (M.A.T.) - 45 hours (0.97); Master of Arts in Teaching in Elementary Education Curriculum (M.A.T.) & Education Specialist in School Curriculum and Instructional Planning (Ed.S.)  (0.96); Master of Arts in Teaching in Special Education (M.A.T.) - 45 hours (0.91)
Master of Arts in Teaching in Special Education (M.A.T.),Master of Arts in Teaching in Special Education (M.A.T.) (1.00); Teaching in Special Education (M.A.T.) - General Curriculum & Adapted Curriculum with CTE-Transition & Special Needs (Add-On Endorsement)  (0.94); Teaching in Special Education (M.A.T.) - Early Childhood Special Education & General Curriculum (0.94); Master of Arts in Teaching (M.A.T.) - 45 hours (0.93); Teaching in Special Education (M.A.T.) - Adapted Curriculum & Early Childhood Special Education with CTE-Transition & Special Needs (Add-On Endorsement) (0.92)
Master of Arts in Teaching in Special Education (M.A.T.) - 45 hours,Master of Arts in Teaching in Special Education (M.A.T.) (1.00); Teaching in Special Education (M.A.T.) - General Curriculum & Adapted Curriculum with CTE-Transition & Special Needs (Add-On Endorsement)  (0.94); Teaching in Special Education (M.A.T.) - Early Childhood Special Education & General Curriculum (0.94); Master of Arts in Teaching (M.A.T.) - 45 hours (0.93); Teaching in Special Education (M.A.T.) - Adapted Curriculum & Early Childhood Special Education with CTE-Transition & Special Needs (Add-On Endorsement) (0.92)
Master of Arts in Theological Studies (M.A.),Master of Arts in Christian Ministry (M.A.) (0.93); Master of Arts in Educational Ministries (M.A.) (0.91); Master of Religious Education (M.R.E.) (0.88); Master of Arts in Biblical Exposition (M.A.) (0.86); Master of Arts in Church Planting (M.A.) (0.86)
Master of Arts in Visual Communication Design (M.A.),Master of Fine Arts in Graphic Design (M.F.A.) (1.00); Master of Fine Arts in Studio Arts (M.F.A.) (1.00); Studio Art Major (B.F.A.) (0.85); Studio & Digital Arts Major (B.S.) (0.84); Studio & Digital Arts (B.S.) - Studio Art - Resident (0.83)
Master of Arts in Worship Studies (M.A.),Doctor of Worship Studies (D.W.S.) (0.95); Master of Arts in Music & Worship (M.A.)  (0.92); Music & Worship (M.A.) - Worship Music Studies (0.84); Worship Music Studies Major (B.S.) (0.82); Doctor of Philosophy in Christian Worship (Ph.D.) (0.76)
Master of Business Administration (M.B.A.),Doctor of Business Administration (D.B.A.) (0.94); Master of Science in Healthcare Administration (M.S.) (0.90); Business Administration & Data Analysis Major (B.S.) (0.90); Master of Arts in Interdisciplinary Studies (M.A.) (0.88); Master of Arts in Interdisciplinary Research (M.A.) (0.87)
Master of Divinity (M.Div.),Master of Arts in Religion (M.A.R.) (0.95); Master of Religious Education (M.R.E.) (0.89); Religion Major (B.S.) (0.89); Master of Arts in Interdisciplinary Research (M.A.) (0.88); Master of Arts in Applied Ministry (M.A.) (0.88)
Master of Divinity in Professional Chaplaincy (M.Div.),Master of Arts in Sports Chaplaincy (M.A.) (0.90); Master of Arts in Chaplaincy (M.A.) (0.90); Master of Arts in Religion (M.A.R.) (0.88); Professional Chaplaincy (M.Div.) - Military (0.88); Professional Chaplaincy (M.Div.) - Community (0.87)
Master of Education (M.Ed.),School Administration & Supervision - Graduate Certificate (0.87); Doctor of Education in Administration & Supervision (Ed.D.) (0.85); Education Specialist in Administration & Supervision (Ed.S.) (0.85); Education Specialist in Curriculum & Instruction (Ed.S.) (0.83); Elementary Education Major (B.Ed.) (0.81)
Master of Education in Curriculum & Instruction (M.Ed.),Master of Education in School Counseling (M.Ed.) (0.92); Master of Arts in Marriage & Family Therapy (M.A.) (0.91); Master of Arts in Marriage & Family Counseling (M.A.) (0.90); Master of Arts in Clinical Mental Health Counseling (M.A.) (0.89); Master of Arts in Addiction Counseling (M.A.) (0.86)
Master of Education in Higher Education (M.Ed.),Master of Arts in Educational Studies (M.A.) (0.84); Doctor of Education in Curriculum & Instruction (Ed.D.) (0.83); Educational Technology & Online Instruction - Graduate Certificate (0.77); Education Specialist in Higher Education Administration (Ed.S.) (0.71); Master of Education in Curriculum & Instruction (M.Ed.) (0.70)
Master of Education in School Counseling (M.Ed.),Master of Education in Curriculum & Instruction (M.Ed.) (0.92); Master of Arts in Marriage & Family Counseling (M.A.) (0.90); Master of Arts in Clinical Mental Health Counseling (M.A.) (0.90); Master of Arts in Marriage & Family Therapy (M.A.) (0.89); Mental Health Studies - Graduate Certificate (0.84)
Master of Education in Special & Gifted Education (M.Ed.),"Special & Gifted Education (M.Ed.) - Twice Exceptionalities: With Transition & Special Needs, Gifted Education, & Special Education General Curriculum (add-on endorsement) (0.87); Gifted Education - Graduate Certificate (0.83); Special Education - General Curriculum - Add-On Endorsement - Graduate Certificate (0.80); Master of Arts in Teaching in Special Education (M.A.T.) (0.79); Master of Arts in Teaching in Special Education (M.A.T.) - 45 hours (0.79)"
Master of Fine Arts in Creative Writing (M.F.A.),Master of Arts in Composition (M.A.) (0.76); Writing Major (B.S.) (0.70); Creative Writing Major (A.A.) (0.67); Creative Writing Major (B.S.) (0.66); Master of Arts in Interdisciplinary Studies (M.A.) (0.64)
Master of Fine Arts in Graphic Design (M.F.A.),Master of Fine Arts in Graphic Design (M.F.A.) (1.00); Master of Arts in Visual Communication Design (M.A.) (1.00); Studio Art Major (B.F.A.) (0.84); Studio & Digital Arts Major (B.S.) (0.84); Studio & Digital Arts (B.S.) - Studio Art - Resident (0.83)
Master of Fine Arts in Studio Arts (M.F.A.),Master of Fine Arts in Graphic Design (M.F.A.) (1.00); Master of Arts in Visual Communication Design (M.A.) (1.00); Studio Art Major (B.F.A.) (0.84); Studio & Digital Arts Major (B.S.) (0.84); Studio & Digital Arts (B.S.) - Studio Art - Resident (0.83)
Master of Laws in International Legal Studies (LL.M.),Juris Master in International Legal Studies (J.M.) (0.97); Juris Master (J.M.) (0.87); Juris Doctor (J.D.) (0.72); Master of Business Administration (M.B.A.) (0.71); Master of Arts in Interdisciplinary Research (M.A.) (0.71)
Master of Music in Performance (M.M.),"Master of Arts in Music Education (M.A.)  (0.92); Music Education (M.A.) - Music Studies (0.73); Woodwind, Brass, or Percussion Performance Major (B.M.) (0.73); Master of Arts in Ethnomusicology (M.A.) (0.72); Guitar Performance Major (B.M.) (0.72)"
Master of Nonprofit Management (M.N.M.),Master of Arts in Executive Leadership (M.A.) (0.75); Leadership - Advanced Graduate Certificate (0.74); Master of Business Administration (M.B.A.) (0.71); Doctor of Business Administration (D.B.A.) (0.71); Business Administration & Data Analysis Major (B.S.) (0.69)
Master of Public Administration (M.P.A.),Master of Business Administration (M.B.A.) (0.85); Master of Arts in Interdisciplinary Research (M.A.) (0.84); Master of Arts in Interdisciplinary Studies (M.A.) (0.84); Master of Science in Healthcare Administration (M.S.) (0.81); Master of Science in Public Safety (M.S.) (0.80)
Master of Public Health (M.P.H.),Bachelor of Science in Public Health (B.S.) - Community Health Promotion & Master of Public Health (M.P.H.) - Community Health Promotion (0.95); Public Health (M.P.H.) - Global Health (0.93); Public Health (M.P.H.) - Environmental Health (0.92); Public Health (M.P.H.) - Health Promotion (0.91); Global Health - Graduate Certificate (0.90)
Master of Religious Education (M.R.E.),Master of Arts in Christian Apologetics (M.A.) (0.94); Master of Arts in Religion (M.A.R.) (0.94); Master of Theology (Th.M.) (0.92); Religion Major (B.S.) (0.90); Master of Divinity (M.Div.) (0.89)
Master of Science Geographic Information Systems (M.S.),Master of Arts in Geography (M.A.) (0.76); Master of Arts in Public History (M.A.) (0.67); Master of Arts in History (M.A.) (0.64); Geography Major (B.S.) (0.62); Master of Arts in Interdisciplinary Studies (M.A.) (0.60)
Master of Science in Accounting (M.S.),Master of Business Administration (M.B.A.) (0.85); Doctor of Business Administration (D.B.A.) (0.83); Business Administration & Data Analysis Major (B.S.) (0.82); Management & Leadership - Graduate Certificate (0.79); Master of Arts in Interdisciplinary Studies (M.A.) (0.78)
Master of Science in Aeronautics (M.S.),Doctor of Philosophy in Aviation (Ph.D.) (0.74); Aviation Management Major (B.S.) (0.71); Aviation Administration Major (B.S.) (0.69); Aviation Major (B.S.) (0.62); Aeronautics Major (B.S.) (0.60)
Master of Science in Athletic Training (M.S.),Doctor of Osteopathic Medicine (D.O.) (0.66); Interdisciplinary Studies Major (B.A. or B.S.) (0.63); Exercise Science Major (B.S.) (0.62); Strength and Conditioning Major (B.S.) (0.60); Interdisciplinary Research Major (B.S.) (0.59)
Master of Science in Biomedical Sciences (M.S.),Master of Arts in Medical Sciences (M.A.) (0.93); Doctor of Philosophy in Anatomy & Cell Biology (Ph.D.) (0.93); Master of Science in Human Biology (M.S.) (0.76); Biomedical Sciences Major (B.S.) (0.73); Interdisciplinary Studies Major (B.A. or B.S.) (0.71)
Master of Science in Criminal Justice (M.S.),Master of Science in Public Safety (M.S.) (0.84); Criminal Justice Major (B.S.) (0.84); Master of Arts in Interdisciplinary Research (M.A.) (0.83); Interdisciplinary Research Major (B.S.) (0.81); Master of Arts in Interdisciplinary Studies (M.A.) (0.81)
Master of Science in Cyber Security (M.S.),Master of Science in Information Technology (M.S.I.T.) (0.66); Master of Science in National Security (M.S.) (0.61); Information Systems Major (B.S.) (0.61); Master of Science in Criminal Justice (M.S.) (0.60); Master of Science in Information Systems (M.S.I.S.) (0.59)
Master of Science in Engineering (M.S.),Interdisciplinary Studies Major (B.A. or B.S.) (0.72); Engineering Education 6-12 Major (B.Ed.) (0.69); Interdisciplinary Research Major (B.S.) (0.68); Middle Education Major (B.Ed.) (0.68); Family & Consumer Sciences Education 6-12 Major (B.Ed.) (0.68)
Master of Science in Engineering Management (M.S.),Master of Science in Project Management (M.S.) (0.70); Doctor of Business Administration (D.B.A.) (0.66); Master of Business Administration (M.B.A.) (0.65); Master of Science in Engineering (M.S.) (0.65); Industrial Engineering Technology Major (B.S.) (0.64)
Master of Science in Exercise Science & Wellness (M.S.),Exercise Science & Wellness (M.S.) - Nutrition & Wellness (0.95); Exercise Science & Wellness (M.S.) - Fitness & Performance (0.94); Master of Science in Human Performance (M.S.) (0.92); Master of Arts in Interdisciplinary Studies (M.A.) (0.82); Master of Arts in Applied Ministry (M.A.) (0.81)
Master of Science in Finance (M.S.),Master of Science in Accounting (M.S.) (0.71); Business Administration & Data Analysis Major (B.S.) (0.69); Master of Business Administration (M.B.A.) (0.68); Doctor of Business Administration (D.B.A.) (0.67); Business Administration & Data Analysis (B.S.) - Financial Planning - Online (0.64)
Master of Science in Health Informatics (M.S.H.I.),Healthcare Administration Major (B.S.) (0.81); Master of Science in Healthcare Administration (M.S.) (0.81); Healthcare Management Certificate - Online (0.80); Business Administration & Data Analysis (B.S.) - Healthcare Management - Online (0.80); Healthcare Management - Graduate Certificate (0.78)
Master of Science in Healthcare Administration (M.S.),Master of Business Administration (M.B.A.) (0.90); Healthcare Administration Major (B.S.) (0.87); Doctor of Business Administration (D.B.A.) (0.84); Business Administration & Data Analysis Major (B.S.) (0.81); Master of Arts in Interdisciplinary Studies (M.A.) (0.81)
Master of Science in Homeland Security & Disaster Management (M.S.),Homeland Security - Advanced Graduate Certificate (0.95); Master of Science in Public Safety (M.S.) (0.76); Master of Science in National Security (M.S.) (0.74); Master of Science in Criminal Justice (M.S.) (0.65); Master of Public Administration (M.P.A.) (0.58)
Master of Science in Human Biology (M.S.),Master of Arts in Medical Sciences (M.A.) (0.82); Doctor of Philosophy in Anatomy & Cell Biology (Ph.D.) (0.78); Master of Science in Biomedical Sciences (M.S.) (0.76); Biomedical Sciences Major (B.S.) (0.69); Interdisciplinary Studies Major (B.A. or B.S.) (0.69)
Master of Science in Human Performance (M.S.),Master of Science in Exercise Science & Wellness (M.S.) (0.92); Exercise Science & Wellness (M.S.) - Nutrition & Wellness (0.88); Exercise Science & Wellness (M.S.) - Fitness & Performance (0.82); Nutrition - Graduate Certificate (0.81); Master of Science in Nutrition (M.S.) (0.81)
Master of Science in Human Resource Management (M.S.),Management & Leadership - Graduate Certificate (0.81); Master of Business Administration (M.B.A.) (0.72); Doctor of Business Administration (D.B.A.) (0.72); Business Administration & Data Analysis Major (B.S.) (0.68); Master of Arts in Executive Leadership (M.A.) (0.67)
Master of Science in Information Systems (M.S.I.S.),Information Systems Major (B.S.) (0.78); Doctor of Business Administration (D.B.A.) (0.75); Information Technology Major (B.S.) (0.75); Master of Science in Information Technology (M.S.I.T.) (0.73); Master of Business Administration (M.B.A.) (0.72)
Master of Science in Information Technology (M.S.I.T.),Master of Science in Information Systems (M.S.I.S.) (0.73); Information Systems Major (B.S.) (0.68); Information Technology Major (B.S.) (0.68); Master of Science in Cyber Security (M.S.) (0.66); Computer Science Major (B.S.) (0.63)
Master of Science in International Relations (M.S.),Master of Arts in Public Policy (M.A.P.P.) (0.77); Master of Arts in Interdisciplinary Research (M.A.) (0.77); Government Major (B.A./B.S.) (0.77); International Relations Major (B.A.) (0.76); Master of Arts in Interdisciplinary Studies (M.A.) (0.75)
Master of Science in Marketing (M.S.),Doctor of Business Administration (D.B.A.) (0.80); Master of Business Administration (M.B.A.) (0.77); Marketing - Graduate Certificate (0.77); Business Administration & Data Analysis Major (B.S.) (0.77); Master of Arts in Professional Communication (M.A.) (0.72)
Master of Science in National Security (M.S.),Homeland Security - Advanced Graduate Certificate (0.77); Master of Science in Homeland Security & Disaster Management (M.S.) (0.74); Master of Science in Criminal Justice (M.S.) (0.69); Government Major (B.A./B.S.) (0.67); Master of Science in Public Safety (M.S.) (0.67)
Master of Science in Nursing (M.S.N.),Nursing for RNs: Post Licensure & Master of Science in Nursing: Community Health  (B.S.N. to M.S.N.) - Online (0.90); Master of Science in Nursing (M.S.N.) & Master of Business Administration (M.B.A.) (0.86); Nursing (M.S.N.) - Community Health (0.85); Master of Science in Nursing (M.S.N.) & Master of Science in Healthcare Administration (M.S.) (0.84); Nursing for RNs: Post Licensure & Master of Science in Nursing: Nursing Administration (B.S.N. to M.S.N) - Online (0.84)
Master of Science in Nursing (M.S.N.) & Master of Business Administration (M.B.A.),Nursing for RNs: Post Licensure & Master of Science in Nursing: Nursing Administration (B.S.N. to M.S.N) - Online (0.97); Master of Science in Nursing (M.S.N.) & Master of Science in Healthcare Administration (M.S.) (0.92); Nursing (M.S.N.) - Nursing Administration (36 hour) (0.88); Master of Science in Nursing (M.S.N.) (0.86); Nursing for RNs: Post Licensure & Master of Science in Nursing: Nursing Informatics (B.S.N. to M.S.N.) - Online (0.82)
Master of Science in Nursing (M.S.N.) & Master of Science in Healthcare Administration (M.S.),Master of Science in Nursing (M.S.N.) & Master of Business Administration (M.B.A.) (0.92); Nursing for RNs: Post Licensure & Master of Science in Nursing: Nursing Administration (B.S.N. to M.S.N) - Online (0.90); Master of Science in Nursing (M.S.N.) (0.84); Nursing for RNs: Post Licensure & Master of Science in Nursing: Nursing Informatics (B.S.N. to M.S.N.) - Online (0.84); Nursing (M.S.N.) - Nursing Administration (36 hour) (0.81)
Master of Science in Nutrition (M.S.),Nutrition - Graduate Certificate (0.92); Public Health (M.P.H.) - Nutrition (0.91); Master of Public Health (M.P.H.) (0.82); Master of Science in Human Performance (M.S.) (0.81); Exercise Science & Wellness (M.S.) - Nutrition & Wellness (0.80)
Master of Science in Political Science (M.S.),Master of Arts in Public Policy (M.A.P.P.) (0.81); Public Policy - Advanced Graduate Certificate (0.76); Political Science Major (B.S.) (0.75); Government Major (B.A./B.S.) (0.74); Government (B.S.) - Politics & Policy - Resident (0.72)
Master of Science in Project Management (M.S.),Project Management Certificate - Online (0.75); Doctor of Business Administration (D.B.A.) (0.71); Master of Science in Engineering Management (M.S.) (0.70); Management & Leadership - Graduate Certificate (0.69); Master of Business Administration (M.B.A.) (0.69)
Master of Science in Psychology (M.S.),Psychology (M.S.) - General Psychology (0.96); Master of Arts in Applied Psychology (M.A.) (0.86); Doctor of Philosophy in Psychology (Ph.D.) (0.84); Psychology (Ph.D.) - General Psychology (0.80); Human Services Major (B.S.) (0.79)
Master of Science in Public Safety (M.S.),Master of Science in Criminal Justice (M.S.) (0.84); Master of Public Administration (M.P.A.) (0.80); Fire Administration Major (B.S.) (0.76); Master of Arts in Interdisciplinary Studies (M.A.) (0.76); Master of Science in Homeland Security & Disaster Management (M.S.) (0.76)
Master of Science in Social Media Management (M.S.),Master of Arts in Strategic Communication (M.A.) (0.97); Master of Arts in Digital Content (M.A.) (0.94); Master of Arts in Professional Communication (M.A.) (0.84); Master of Arts in Communication (M.A.) (0.80); Strategic Communication Major (B.S.) (0.71)
Master of Science in Sport Management (M.S.),Hospitality Management Major (B.S.) (0.85); Sport Management Major (B.S.) (0.84); Master of Arts in Applied Ministry (M.A.) (0.77); Coaching Major (B.S.) (0.76); Master of Arts in Interdisciplinary Studies (M.A.) (0.75)
Master of Social Work (M.S.W.),Advanced Standing Master of Social Work (M.S.W.) (0.97); Social Work Major (B.S.S.W.) (0.78); Human Services Major (B.S.) (0.49); Interdisciplinary Research Major (B.S.) (0.29); Doctor of Psychology in Clinical Psychology (Psy.D.) (0.29)
Master of Theology (Th.M.),Master of Religious Education (M.R.E.) (0.92); Master of Arts in Religion (M.A.R.) (0.88); Master of Arts in Christian Apologetics (M.A.) (0.86); Religion Major (B.S.) (0.86); Master of Arts in Interdisciplinary Research (M.A.) (0.85)
Mathematics Education 6-12 Major (B.Ed.),Computer Science Education 6-12 Major (B.Ed.) (0.88); Business Education 6-12 Major (B.Ed.) (0.87); Elementary Education Major (B.Ed.) (0.87); Physics Education 6-12 Major (B.Ed.) (0.87); Middle Education Major (B.Ed.) (0.85)
Mathematics Major (B.S.),Applied Mathematics & Statistics Major (B.S.) (0.94); Mathematics Education 6-12 Major (B.Ed.) (0.83); Computational Mathematics Major (B.S.) (0.83); Algebra I Education Certificate - Resident & Online (0.82); Physics Major (B.S.) (0.78)
Mechanical Engineering Major (B.S.),Civil Engineering Major (B.S.) (0.86); Engineering Education 6-12 Major (B.Ed.) (0.84); Computer Engineering Major (B.S.) (0.75); Industrial Engineering Technology Major (B.S.) (0.73); Electrical Engineering Major (B.S.) (0.70)
Medical Office Assistant Certificate - Online,Medical Office Assistant Major (A.A.S.) (0.91); Health Sciences Major (B.S.) (0.68); Informatics Major (B.S.) (0.65); Respiratory Therapy Major (RRT to BSRT) (0.51); Bachelor of Science in Nursing (B.S.N.) for RNs: Post-Licensure - Master of Science in Nursing (M.S.N.) (0.51)
Medical Office Assistant Major (A.A.S.),Medical Office Assistant Certificate - Online (0.91); Health Sciences Major (B.S.) (0.76); Informatics Major (B.S.) (0.73); Interdisciplinary Studies Major (B.A. or B.S.) (0.65); Master of Arts in Interdisciplinary Studies (M.A.) (0.64)
Medium Unmanned Aerial Systems Certificate - Resident,Unmanned Aircraft Operations Major (B.S.) (0.75); Aeronautics Major (B.S.) (0.63); Aviation Management Major (B.S.) (0.58); Aviation Maintenance Major (B.S.) (0.58); Aviation Major (B.S.) (0.56)
Mental Health Studies - Graduate Certificate,Master of Arts in Clinical Mental Health Counseling (M.A.) (0.89); Master of Arts in Marriage & Family Counseling (M.A.) (0.89); Master of Arts in Marriage & Family Therapy (M.A.) (0.88); Master of Education in School Counseling (M.Ed.) (0.84); Master of Arts in Addiction Counseling (M.A.) (0.83)
Middle Education Major (B.Ed.),Elementary Education Major (B.Ed.) (0.99); Bachelor of Education in Special Education - General Curriculum K-12 (0.96); Biology Education 6-12 Major (B.Ed.) (0.93); Interdisciplinary Studies Major (B.A. or B.S.) (0.89); Physics Education 6-12 Major (B.Ed.) (0.89)
Middle Grades - Graduate Certificate,Master of Arts in Teaching (M.A.T.) - 36 hours (0.69); Master of Arts in Teaching (M.A.T.) - 45 hours (0.68); Education Specialist in Curriculum & Instruction (Ed.S.) (0.68); Master of Arts in Teaching in Middle Education Curriculum (M.A.T.) & Education Specialist in School Curriculum and Instructional Planning (Ed.S.) (0.66); Doctor of Education in Curriculum & Instruction (Ed.D.) (0.60)
Military History Major (A.A.),"History Major (B.A. & B.S.)  (0.77); Social Sciences Major (B.S.) (0.76); Social Studies Education 6-12 Major (B.Ed.) (0.74); Military Studies Major (B.S.) (0.72); Philosophy, Politics, and Economics Major (A.A.)  (0.70)"
Military Resilience - Graduate Certificate,Master of Arts in Pastoral Counseling (M.A.) (0.79); Master of Arts in Human Services Counseling (M.A.) (0.77); Master of Education in Curriculum & Instruction (M.Ed.) (0.74); Master of Arts in Interdisciplinary Studies (M.A.) (0.72); Master of Arts in Marriage & Family Counseling (M.A.) (0.71)
Military Resilience Certificate - Online,Professional Chaplaincy (M.Div.) - Community (0.71); Master of Arts in Human Services Counseling (M.A.) (0.69); Master of Arts in Pastoral Counseling (M.A.) (0.68); Psychology Major (B.S.) (0.67); Doctor of Philosophy in Health Sciences (Ph.D.) (0.67)
Military Studies Major (B.S.),Interdisciplinary Research Major (B.S.) (0.81); Interdisciplinary Studies Major (B.A. or B.S.) (0.78); Master of Arts in Interdisciplinary Studies (M.A.) (0.72); Military History Major (A.A.) (0.72); Social Studies Education 6-12 Major (B.Ed.) (0.72)
Music & Worship (M.A.) - Commercial Music Performance,Music & Worship (M.A.) - Conducting (0.92); Music Education (M.A.) - Conducting (0.73); Master of Arts in Music Education (M.A.)  (0.71); Music Education (M.A.) - Music Studies (0.68); Master of Arts in Music & Worship (M.A.)  (0.68)
